09120100460	09120100460	09120100460	09120100160	09230002226	09250000123	09230001726	09230000126	09230000126	09230000126	09230000126	09230000126	09230000126	09230000126	09230001626	09250000123	09230002226	09120000460	09120001460	09120000760	09120000760	09120000760	09120000860	09120000160
09230002526	09230002526	09230002526	09230002526	09230002126	09250000123	09230002226	09230000526	09230000726	09230000726	09230001226	09230000926	09230000926	09230000526	09230002226	09250000123	09230002026	09230000626	09230000626	09230000626	09230000626	09230000626	09230001626	09120001260
09250000623	09250000423	09250000423	09250000423	09230002226	09250000123	09230002226	09250100523	09340100029	09340100029	09350000031	09340000029	09340000029	09250100523	09230002226	09250000123	09230002226	09250000623	09340200029	09250000623	09340200029	09250000623	09230002226	09120001260
09250000123	09360000133	09360000133	09250000123	09230002226	09250000123	09230002226	09250100423	09250100023	09250100023	09250100323	09250100623	09250100623	09250100123	09230002226	09250000123	09230002226	09250000123	09250000323	09250000223	09250000323	09250000223	09230002226	09120001260
09250000123	09250000423	09250000423	09250000823	09230002226	09250000123	09230002226	09250100423	09250100123	09250100023	09250100323	09250100623	09250100123	09250100123	09230002226	09250000123	09230002226	09250000123	09250000823	09360000133	09250000123	09250000823	09230002226	09120001260
09230002626	09270100030	09230002426	09230002526	09230002126	09250000123	09230001926	09230000626	09230002626	09250100223	09250100123	09250100123	09230002426	09230000626	09470100263	09250000123	09230002226	09250000123	09250000823	09250000423	09250000823	09250000823	09230002226	09120001260
09230000326	09260400045	09230000326	09230000326	09230002226	09250000123	09230000326	09230000326	09230000326	09260100345	09260100045	09260100245	09230000326	09230000326	09470100463	09250000123	09230002226	09250000123	09250000823	09250000823	09250000823	09250000823	09230002226	09120001260
09250000423	09250000423	09250000423	09250000423	09230002226	09250000123	09230001426	09230001326	09230001326	09260100345	09260100045	09260100245	09230001426	09230001426	09470100163	09250000123	09230002326	09250000123	09230001726	09230000026	09270000030	09230000226	09230002126	09120001260
09250000823	09250000823	09250000823	09250000823	09240000027	09250000123	09250000423	09250000423	09250000723	09250000723	09250000423	09250000423	09250000423	09250000423	09260300145	09250000823	09230000326	09260400045	09230002226	09230000526	09260400045	09230000326	09230002226	09120001260
09250000823	09470100263	09250000123	09250000823	09230002226	09250000123	09250000023	09250000823	09250000823	09250000823	09250000823	09250000823	09250000823	09250000023	09260300145	09250000823	09250000423	09250000423	09230002226	09250000623	09250000423	09250000423	09230002226	09120001260
09250000023	09470100363	09260100345	09260100245	09230001926	09470100263	09250000123	09250000823	09470100263	09230000826	09250000123	09250000823	09250000823	09250000823	09260300145	09250000823	09250000823	09250000823	09230002226	09250000123	09340200029	09250000123	09230002226	09120001260
09250000823	09260300045	09120100560	09120100060	09230000326	09470100363	09260100145	09260100245	09470100363	09230002226	09250000123	09230001726	09230000626	09230000626	09230000626	09230002526	09230002826	09230000026	09230001126	09250000123	09250000323	09250000223	09230002226	09120001260
09250000823	09260300145	09120100360	09120100460	09120100260	09120100760	09120100060	09120100060	09120100760	09230002226	09250000123	09230002226	09230000526	09230000326	09230000326	09230000326	09470100263	09230000526	09230000326	09250000123	09250000823	09250000823	09230002226	09120001260
09250000823	09470100263	09120100360	09120100660	09120100460	09120100160	09120100460	09120100460	09120100160	09230002226	09260000045	09230002226	09250000623	09250000423	09250000423	09250000423	09470100363	09250000623	09250000423	09250000823	09250000823	09250000823	09230002226	09120001260
09250000023	09230001926	09230000626	09230000626	09230000626	09230000626	09230000626	09230000626	09230000626	09230000626	09230002526	09230002126	09250000123	09250000823	09340200029	09250000123	09250000923	09250000223	09250000023	09250000823	09340200029	09250000123	09230002226	09120001260
09250000823	09230000326	09230000326	09230000326	09230000326	09230000326	09230000326	09230000326	09230000326	09230000326	09230000326	09230002226	09250000123	09250000823	09250000323	09250000223	09250000823	09250000023	09250000823	09250000023	09250000323	09250000223	09230002226	09120001260
09250000823	09250000423	09250000423	09250000723	09250000423	09250000423	09250000423	09250000723	09250000423	09250000423	09250000423	09230002226	09250000123	09250000823	09250000823	09250000823	09470100263	09250000123	09250000823	09250000823	09250000823	09250000823	09230002226	09120001260
09230000626	09230000626	09230000626	09230000626	09230000626	09230000626	09230001626	09250000823	09250000823	09340200029	09250000123	09230002026	09230002626	09230002626	09250000123	09230002526	09230002826	09230000026	09470000263	09250000123	09250000823	09470000263	09230000426	09120001260
09230000326	09230000326	09230000326	09230000326	09230000326	09230000326	09230002226	09250000123	09250000823	09250000323	09250000223	09230002226	09230000526	09230000326	09250000123	09230000326	09230002226	09230000526	09470000163	09250000123	09250000823	09470000163	09230000526	09120001260
09230001426	09230001326	09230001426	09230001326	09230001426	09230001326	09470100263	09230001026	09230000626	09470100263	09250000123	09470100263	09250000623	09250000423	09250000823	09250000423	09230002226	09230001526	09470000063	09260100345	09260100245	09470000063	09230001526	09120001360
09250000723	09250000423	09250000423	09250000423	09250000723	09250000423	09470100463	09230000526	09230000326	09470100363	09250000123	09470100363	09250000123	09250000823	09340200029	09250000123	09230002226	09120000060	09120001660	09250001023	09250000523	09120001960	09120001760	09120000760
09250000823	09250000823	09250000023	09250000823	09250000823	09250000023	09470100063	09250000723	09250000423	09250000923	09250000223	09250000923	09250000223	09250000823	09250000323	09250000223	09230002226	09120001260	09120001860	09120000223	09120000323	09120001160	09120000760	09120000860
09250000823	09250000823	09250000823	09250000823	09250000023	09250000823	09260200045	09250000823	09250000823	09250000823	09250000823	09250000823	09250000823	09250000823	09250000823	09250000823	09230002226	09120001260	09120002060	09120000623	09120000623	09120002260	09120000760	09120000960
09250000823	09250000823	09250000823	09250000823	09250000023	09250000823	09470100263	09230001026	09230000626	09230002626	09230000626	09230002626	09230000626	09230002526	09230002626	09230000626	09230001126	09120000460	09120001060	09120001523	09120000523	09120002160	09120000160	09120000960
