30010001601	30010001601	30020000312	30040004118	30010001501	30110000216	30110000016	30110000516	30040000818	30040005618	30040004618	30040002618	30040000718	30040005018	30040002818
30110100016	30150000019	30110000116	30110000316	30110000416	30110000616	30040004418	30040000718	30040004218	30040004918	30040003418	30040001218	30040002118	30040004818	30040002518
30110100116	30150000019	30110000616	30010001601	30040000118	30040005918	30040000718	30040003118	30040005518	30040001418	30040004918	30040003418	30040005118	30040003018	30040002418
30010001201	30010001901	30010000001	30010000201	30010001001	30040001818	30040000018	30040004318	30040004818	30040001418	30040000618	30040000418	30040003018	30040001418	30040000218
30040000918	30040005418	30010001201	30010000801	30010000501	30040000118	30040005918	30040000018	30040001618	30040002218	30040002418	30040005718	30040001418	30040002518	30040001518
30040005218	30040002918	30040005018	30040003318	30010001601	30010001601	30010000101	30010001901	30010001301	30010001601	30040001118	30040003418	30040003718	30040002318	30010001501
30040001018	30040005118	30040003018	30040003618	30040001818	30040002718	30040004018	30040003218	30010000301	30020000212	30040001818	30040000018	30040001618	30040004718	30040000118
30040002118	30040000518	30040001418	30040001318	30040003518	30040000218	30040003118	30040005218	30040003318	30010001901	30020000112	30010001801	30010001301	30020000012	30010000401
30040005318	30040003118	30040001918	30040002018	30040003818	30040001018	30040002018	30040003718	30040001418	30040005818	30010001401	30010000601	30010001101	30010000901	30020000212
30040001418	30040004918	30040004318	30040003418	30040001718	30040003918	30040006018	30040004818	30040000318	30040004518	30040003318	30010001601	30010000701	30010001701	30010000901
