07390000013	07020001512	07010005501	07010005501	07020001512	07020000212	07020000512	07390000113	07020000112	07010005501	07010005501	07020001712	07010004401	07010000201	07010005301	07020001712	07020000712	07020001212	07010006301	07010002101	07040000818	07040005718	07040002718	07040002218	07040004618	07040001718	07040002118	07040000218	07040004818
07390000313	07020000612	07020001512	07010005501	07020000512	07390000013	07020000112	07020001512	07010007601	07010007601	07020001512	07010002401	07010000201	07010000501	07010006801	07010006301	07020000212	07010002401	07010006401	07040005218	07040005718	07040004318	07040003818	07040002418	07040004918	07040004618	07040001018	07040001318	07040005018
07390000613	07020000312	07390000013	07010001701	07010005001	07010007701	07010000301	07010005501	07010005501	07010005401	07010005501	07010003201	07010000501	07010000201	07010000201	07010000201	07010005601	07010000201	07010001601	07040004418	07040005518	07040003318	07040005718	07040005718	07040003818	07040002418	07040001218	07040003518	07040000618
07020000912	07020000012	07020000012	07020000112	07010002601	07010002501	07010001901	07010003501	07010005401	07010005501	07010005501	07010005501	07010003201	07010000501	07010000501	07010000501	07010001601	07010003901	07020001712	07010002101	07040005518	07040002018	07040005118	07040003318	07040005718	07040004318	07040005818	07040003218	07040004918
07020001312	07390000013	07020001512	07010002901	07010000401	07010005501	07010005501	07010005201	07010001701	07010007301	07010002301	07010002201	07020001512	07010003201	07010000201	07010001601	07010002201	07020000212	07010002101	07020001712	07040001618	07040000618	07040004518	07040005718	07040003318	07040002718	07040003418	07040000218	07040003018
07020000712	07020001212	07060200038	07010004901	07010007601	07010005401	07010005501	07030000217	07010007601	07010006601	07010001801	07010004801	07010002201	07010005501	07010001501	07010000001	07010002201	07010002201	07020000212	07010004601	07010006901	07040000018	07040006018	07040000018	07040004318	07040003818	07040005918	07040005418	07040000218
07020001512	07060100038	07010004901	07010007601	07010007601	07010007601	07020001512	07010005101	07030000417	07010002901	07010004101	07010000701	07010002201	07010007601	07010003201	07010001601	07020001512	07010002201	07020000812	07010001401	07010000801	07390000313	07030000417	07040000118	07040004318	07040005318	07040005018	07040005418	07040001318
07060000038	07010004901	07010000101	07010006301	07010003001	07010002001	07010007601	07010007601	07030000017	07030000117	07010002701	07010002501	07010003401	07010006901	07010005501	07010002101	07010002201	07020001712	07010007601	07020000512	07020000112	07030000317	07040000518	07040002518	07040000018	07040005618	07040000618	07040002918	07040002718
07010005501	07020001512	07010001101	07010000201	07010000201	07010000601	07010005401	07010005501	07010007601	07010005101	07030000417	07010002201	07010002201	07010001001	07010002201	07010002201	07010007601	07010007601	07020001512	07010007601	07040001818	07040003718	07040002618	07010006201	07390000313	07040004218	07040002718	07040001918	07040000418
07020001212	07010007601	07010004401	07010000501	07010001601	07010007601	07020000512	07020000112	07010007601	07020001712	07010006001	07030000217	07010002201	07010002201	07010000401	07010006701	07010007601	07010007601	07010007601	07040002518	07040000518	07390000313	07030000017	07030000117	07030000317	07040005518	07040002418	07040004718	07040001518
07020001212	07010002401	07010000201	07010000201	07010000001	07020001712	07010007601	07010005401	07020001712	07010007601	07020001512	07010002201	07010002201	07010002201	07010003701	07010006001	07020001512	07010007601	07040002618	07010006201	07010005401	07020000812	07030000017	07020000412	07020000612	07040001618	07040005718	07040003318	07040000718
07010007601	07010003201	07010000501	07010000501	07010000501	07010004301	07020001512	07010007601	07020000212	07020001712	07010006001	07010002201	07160000010	07010005401	07010002201	07010002201	07010007601	07010007601	07010007601	07040004418	07010003601	07010005601	07010004301	07390000313	07030000017	07030000117	07040001618	07040005718	07040001218
07020001512	07010002401	07010000201	07010000201	07010000201	07010000201	07010004301	07010007601	07020000812	07010005401	07020001512	07010002201	07010002201	07010002201	07010002201	07020001712	07010007601	07010007601	07010007601	07010007601	07010001101	07010000501	07010001601	07030000217	07020001512	07010004501	07010004801	07040001618	07040005818
07010007601	07010003201	07010000201	07010000201	07010000501	07010000501	07010007101	07020001712	07010007601	07010002201	07010005401	07020001712	07010005401	07010007001	07010002201	07010002201	07010007601	07020000512	07010007601	07010007601	07010006001	07010001201	07010007601	07030000217	07020001712	07010007501	07010006501	07040001118	07040002718
07020001312	07020001412	07010004001	07010000501	07010000201	07010000201	07010000201	07010004301	07010007601	07010002201	07020001712	07020001512	07010007601	07010001401	07010007701	07010004801	07010007601	07010007601	07010007601	07040002818	07040000918	07010006201	07390000313	07390000313	07030000017	07030000117	07030000217	07040005518	07040003818
07390000013	07020001212	07010004201	07010007801	07010000501	07010000501	07010000501	07010007101	07010005501	07010003701	07010003701	07010006001	07010006001	07010003301	07010005701	07010002801	07010007601	07020000512	07020000112	07040005518	07040004018	07010002901	07010005101	07030000217	07030000117	07030000317	07040000818	07040005718	07040000318
07390000413	07010007601	07020000212	07010004201	07010005801	07010000501	07010000201	07010000201	07010004301	07010005401	07490000746	07490000646	07490000546	07010006101	07010003101	07010007601	07010007601	07030000417	07010002201	07040004118	07040002318	07010000401	07010005501	07030000417	07030000317	07040005218	07040005718	07040002718	07040001418
07390000113	07020000612	07020000812	07020001512	07020001712	07010003201	07010005801	07010005801	07010001601	07010007601	07490000246	07490000446	07490000046	07010001301	07010000701	07010007601	07030000217	07010007601	07010007601	07010007201	07020001512	07010005501	07030000417	07030000217	07030000417	07040002518	07040005518	07040003018	07040004918
