03230000126	03230000226	03230001126	03230001126	03230001126	03230001126	03230001126	03230001126	03230001126	03230001126	03230001126	03230000926	03230000826	03230000226	03230000726	03230000226	03230001626
03230001526	03250000723	03250001123	03250001123	03410000157	03250000823	03250001123	03250001123	03250001123	03250001123	03250001123	03250001123	03230001526	03250000723	03350000031	03250000723	03230001526
03230001526	03250000423	03250000923	03250000323	03250000523	03250000923	03250000623	03250000323	03250000923	03250000623	03250000323	03250000923	03230001526	03250000423	03250001123	03250000923	03230001526
03230001126	03230001126	03270000030	03230001126	03230001626	03250000423	03360100033	03250000423	03360100033	03250000423	03360100033	03250000423	03230001526	03250000423	03250000323	03250000023	03230001526
03250001123	03250001123	03250001123	03250001123	03230001526	03250000423	03250001123	03250000023	03250001123	03250000123	03250001123	03250000623	03230001526	03250000423	03250000623	03250001023	03230001526
03260100045	03250000623	03250000323	03250000923	03230000126	03230000226	03250000423	03230001126	03230001126	03230001126	03270000030	03230001126	03230001126	03230001126	03250000423	03230001126	03230000526
03230000026	03230001126	03230001126	03250000423	03230001226	03230000626	03260000045	03230000426	03230001526	03230000626	03260000045	03230000426	03230000426	03230000426	03260000045	03230000426	03230001526
03230001526	03230000626	03230000426	03260000045	03230001526	03070000002	03070000902	03070000502	03230001526	03250000723	03250001123	03410000157	03250000823	03410000157	03250000823	03250001123	03230001526
03230001526	03070000002	03070000402	03070000502	03230001526	03070000002	03340000029	03070000602	03240000027	03250000423	03250000923	03250000523	03250000923	03250000523	03250000923	03250000923	03230001526
03230001226	03070000302	03070000902	03070000202	03240000027	03070000002	03070000402	03070000902	03230001526	03250000423	03250000323	03410000057	03250000223	03410000057	03250000223	03250000323	03230001526
03070000402	03070000202	03070000202	03070000902	03230000126	03230000226	03270000030	03230001426	03230001326	03250000423	03250000123	03250000523	03250000923	03250000523	03250000923	03250000623	03230001526
03070000902	03070000902	03070000202	03070000202	03230001526	03070000002	03070000902	03070000802	03230001526	03250000423	03250000623	03250001023	03250000623	03250001023	03250000623	03250001023	03230001526
03010000301	03070000202	03070000202	03070000902	03240000027	03070000002	03360100033	03070000602	03230000126	03230000226	03230001126	03230001126	03230001126	03230001126	03230001126	03230001126	03230000526
03230001126	03320000026	03070000602	03070000202	03320000026	03230001126	03230001126	03230001126	03230000526	03230000626	03230000426	03230000426	03230000426	03230000426	03230000426	03230000426	03230001026
03230000426	03230000326	03070000302	03070000102	03230000326	03230000426	03230000426	03230000426	03230001026	03010000201	03010000401	03010000401	03010000401	03010000701	03010000001	03010000101	03010001001
03010000001	03010000001	03010000301	03070000202	03010001201	03010000001	03010000001	03020000012	03010000001	03010000001	03010000501	03010000201	03010000801	03010001101	03010000901	03010000601	03010000601
