04020000512	04010001401	04010002201	04020000512	04010002701	04020000512	04010002001	04490000746	04490000646	04490000546	04060000338	04060000638	04010002201	04020000512	04010002201
04020000512	04020000512	04010001801	04010003301	04010000501	04010004401	04020000412	04490000246	04490000446	04490000046	04060000738	04060000538	04020000512	04010002201	04010002201
04010002201	04010000201	04010000101	04010000101	04010003601	04020000512	04010002201	04490000146	04170000003	04490000346	04060000538	04010002301	04060000238	04010003501	04020000412
04010002201	04020000412	04010004301	04010002901	04010000101	04010002801	04020000512	04010002201	04010000601	04010002201	04010002201	04060000238	04020000512	04060000538	04060000038
04030000017	04010002201	04010002201	04020000512	04010002601	04010000101	04010002801	04020000412	04010001501	04010003201	04020000412	04010002301	04060000438	04060000138	04060000838
04030000217	04030000117	04010002201	04020000512	04020000412	04010004601	04010000101	04010002801	04010003701	04010001101	04010002201	04010001301	04010002801	04020000512	04010001301
04030000117	04030000217	04030000017	04010000201	04010001001	04010002901	04010003401	04010000901	04010001601	04010000401	04020000512	04010000301	04010004301	04010000501	04010000101
04030000117	04030000017	04020000512	04010002201	04020000412	04010002201	04020000412	04020000512	04110000316	04150200019	04110000116	04010004501	04010002201	04010002001	04010000101
04110001116	04110000416	04110001116	04110000116	04400000051	04010002201	04110000216	04110000416	04110001016	04010000601	04110000916	04110000016	04020000512	04010002201	04010003901
04490000746	04490000646	04490000546	04110000916	04110000416	04110000716	04110000516	04020000412	04010000701	04010003101	04010002201	04110000916	04110000116	04020000412	04010002201
04490000246	04490000446	04490000046	04020000412	04010002201	04110000216	04110001016	04010001901	04010001701	04020000512	04010002201	04010002201	04110000816	04110001116	04110000616
04490000146	04170000003	04490000346	04010002201	04110000316	04110001016	04010002101	04020000412	04010002201	04010002201	04020000412	04020000512	04010002201	04010002201	04020000512
04010002201	04010000601	04010002201	04010002201	04150100019	04010003801	04010004201	04010002201	04020000512	04020000412	04010002201	04010002201	04010002201	04020000112	04010002201
04020000512	04010001501	04010003201	04110000216	04110001016	04010001901	04010001701	04010003001	04010002401	04010002201	04020000212	04020000012	04010002201	04020000312	04010002201
04010001201	04010004101	04110000316	04110001016	04010000001	04020000512	04010001301	04010000101	04010004001	04020000412	04010002201	04010002201	04020000512	04010002201	04020000512
