theme_id	theme_source	class_id	class_name	subclass_id	orientation_id	tile_hash	relative_png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	0	002885e3309330f0ab6ae47de3c80987	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_000.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	1	020ffd553597df26f603271b192533bf	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_001.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	2	0463c8ff46b32c154e83f32b6fce0628	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_002.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	3	049eb40d5d5cbd0a8c445bd9f3f69ba6	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_003.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	4	0e12623c4bbce1458a00e5f647a79358	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_004.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	5	0e361765758a8f009f05415ca17df397	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_005.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	6	11551ddb099335bb17aa5348e444b25a	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_006.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	7	15cd71534942986e68c00deb1b942792	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_007.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	8	1f5cdb674b82a098a88f3f2aea24d2d3	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_008.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	9	38f6c1ed85a5ab8096f7224afc10d2cf	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_009.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	10	39d366141d59ee53257a617a208dc221	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_010.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	11	45db38e296c342d3f98f5be3444c83d7	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_011.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	12	4b688fee8cd5f05aa9e3ae816deaf76e	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_012.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	13	51e897d54710329970f0a5fdcaaa62b1	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_013.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	14	5453a7710d2e1538732da6a9271d4ddf	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_014.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	15	58073dcf0f79c422f78bc5d4ae07f3a4	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_015.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	16	5b4d99d163c423d25016a42141a94be4	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_016.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	17	64476ff2259dfcb25463bf555259a01b	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_017.png
1	Fire Emblem 8/Chapters/01	1	PLAIN	0	18	64542a130e9982b8c15974bfc1e0b9d0	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_018.png
